,species,infraspecificEpithet,class,iucnRedListCategory,kingdom,sex,phylum,specificEpithet,vernacularName,genericName,family,datasetName,higherClassification,subgenus,organismName
44,Agaricus xanthodermus,griseus,Agaricus xanthodermus,Agaricus xanthodermus,Agaricus xanthodermus,,Agaricus xanthodermus,xanthodermus,Agaricus xanthodermus,Agaricus xanthodermus,Agaricus xanthodermus,iNaturalist research-grade observations,Agaricus xanthodermus,,
45,Mycena acicula,,Mycena acicula,Mycena acicula,Mycena acicula,,Mycena acicula,Mycena acicula,,Mycena acicula,Mycena acicula,iNaturalist research-grade observations,Mycena acicula,,
46,Geastrum triplex,,Geastrum triplex,Geastrum triplex,Geastrum triplex,,Geastrum triplex,Geastrum triplex,,Geastrum triplex,Geastrum triplex,iNaturalist research-grade observations,Fungi|Basidiomycota|Geastrales|Geastraceae,,
47,Clitopilus hobsonii,,Clitopilus hobsonii,Clitopilus hobsonii,Clitopilus hobsonii,,Clitopilus hobsonii,Clitopilus hobsonii,,Clitopilus hobsonii,Clitopilus hobsonii,iNaturalist research-grade observations,,,
48,Clavulina cinerea,gracilis,Clavulina cinerea,Clavulina cinerea,Clavulina cinerea,,Clavulina cinerea,cinerea,,Clavulina,Clavulina cinerea,iNaturalist research-grade observations,Clavulina cinerea,,
49,Cryptomarasmius corbariensis,,Cryptomarasmius corbariensis,Cryptomarasmius corbariensis,Cryptomarasmius corbariensis,,Cryptomarasmius corbariensis,corbariensis,,Cryptomarasmius,Cryptomarasmius corbariensis,iNaturalist research-grade observations,,,
50,Sepultariella semiimmersa,,Sepultariella semiimmersa,Sepultariella semiimmersa,Sepultariella semiimmersa,,Sepultariella semiimmersa,Sepultariella semiimmersa,,Octospora,Sepultariella semiimmersa,SIM-Fungal occurrences compiled by the Iberian Mycological Society,,,
51,Hydnellum concrescens,Hydnellum concrescens,Hydnellum concrescens,Hydnellum concrescens,Hydnellum concrescens,,Hydnellum concrescens,concrescens,,Hydnellum,Hydnellum concrescens,SIM-Fungal occurrences compiled by the Iberian Mycological Society,Hydnellum concrescens,,
52,Szczepkamyces campestris,,Szczepkamyces campestris,Szczepkamyces campestris,Szczepkamyces campestris,,Szczepkamyces campestris,Szczepkamyces campestris,,Dichomitus,Szczepkamyces campestris,iNaturalist research-grade observations,Fungi|Polyporaceae,,
53,Mycena renati,Mycena renati,Mycena renati,Mycena renati,Mycena renati,,Mycena renati,Mycena renati,,Mycena renati,Mycena renati,iNaturalist research-grade observations,Mycena renati,,
54,Coprinopsis romagnesiana,,Coprinopsis romagnesiana,Coprinopsis romagnesiana,Coprinopsis romagnesiana,,Coprinopsis romagnesiana,romagnesiana,,Coprinopsis,Coprinopsis romagnesiana,iNaturalist research-grade observations,,,
55,Ciboria batschiana,,Ciboria batschiana,Ciboria batschiana,Ciboria batschiana,,Ciboria batschiana,batschiana,,Ciboria,Ciboria batschiana,iNaturalist research-grade observations,,,
56,Diatrype stigma,,Diatrype stigma,Diatrype stigma,Diatrype stigma,,Diatrype stigma,Diatrype stigma,,Diatrype stigma,Diatrype stigma,Fungal occurrences from the Basque Country and neighbouring areas: ARAN-Fungi,Diatrype stigma,,
57,Ionopezia gerardii,,Ionopezia gerardii,Ionopezia gerardii,Ionopezia gerardii,,Ionopezia gerardii,Ionopezia gerardii,,Ionopezia gerardii,Ionopezia gerardii,Fungal occurrences from the Basque Country and neighbouring areas: ARAN-Fungi,,,
58,Malvipezia howsei,,Malvipezia howsei,Malvipezia howsei,Malvipezia howsei,,Malvipezia howsei,Malvipezia howsei,,Peziza,Malvipezia howsei,CSIC-Real Jardín Botánico-Colección de Hongos (MA-Fungi),,,
59,Entoloma undatum,,Entoloma undatum,Entoloma undatum,Entoloma undatum,,Entoloma undatum,Entoloma undatum,,Entoloma undatum,Entoloma undatum,BBDD_CITACIONS_BIODIVERSITAT_2233908,,,
60,Octospora areolata,,Octospora areolata,Octospora areolata,Octospora areolata,,Octospora areolata,Octospora areolata,,Octospora areolata,Octospora areolata,,,,
61,Stereum hirsutum,,Stereum hirsutum,Stereum hirsutum,Stereum hirsutum,,Stereum hirsutum,hirsutum,Stereum hirsutum,Stereum hirsutum,Stereum hirsutum,iNaturalist research-grade observations,Fungi|Stereaceae,,
62,Suillellus queletii,rubicundus,Suillellus queletii,Suillellus queletii,Suillellus queletii,,Suillellus queletii,Suillellus queletii,,Suillellus,Suillellus queletii,iNaturalist research-grade observations,Suillellus queletii,,
63,Paragalactinia michelii,,Paragalactinia michelii,Paragalactinia michelii,Paragalactinia michelii,,Paragalactinia michelii,michelii,,Paragalactinia,Paragalactinia michelii,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,,,
64,Peziza varia,,Peziza varia,Peziza varia,Peziza varia,,Peziza varia,varia,,Peziza,Peziza varia,iNaturalist research-grade observations,Fungi|Ascomycota|Pezizomycotina|Pezizomycetes|Pezizomycetidae|Pezizales|Pezizaceae|Galactinia,,
65,Tremella mesenterica,,Tremella mesenterica,Tremella mesenterica,Tremella mesenterica,,Tremella mesenterica,mesenterica,Yellow Brain,Tremella mesenterica,Tremella mesenterica,iNaturalist research-grade observations,Tremella mesenterica,,
66,Cuphophyllus virgineus,Cuphophyllus virgineus,Cuphophyllus virgineus,Cuphophyllus virgineus,Cuphophyllus virgineus,,Cuphophyllus virgineus,virgineus,Cuphophyllus virgineus,Cuphophyllus,Cuphophyllus virgineus,iNaturalist research-grade observations,Cuphophyllus virgineus,,
67,Geopyxis majalis,,Geopyxis majalis,Geopyxis majalis,Geopyxis majalis,,Geopyxis majalis,Geopyxis majalis,,Geopyxis majalis,Geopyxis majalis,SIM-Fungal occurrences compiled by the Iberian Mycological Society,,,
