,species,infraspecificEpithet,class,iucnRedListCategory,kingdom,sex,phylum,specificEpithet,vernacularName,genericName,family,datasetName,higherClassification,subgenus,organismName
10343,Tubulicrinis thermometrus,,Tubulicrinis thermometrus,Tubulicrinis thermometrus,Tubulicrinis thermometrus,,Tubulicrinis thermometrus,Tubulicrinis thermometrus,,Tubulicrinis thermometrus,Tubulicrinis thermometrus,"Herbario BIO de Criptogamia (Hongos) (BIO-Fungi), Universidad del Pais Vasco (UPV/EHU)",,,
10344,Gloeophyllum protractum,,Gloeophyllum protractum,Gloeophyllum protractum,Gloeophyllum protractum,,Gloeophyllum protractum,Gloeophyllum protractum,,Gloeophyllum protractum,Gloeophyllum protractum,"Herbario BIO de Criptogamia (Hongos) (BIO-Fungi), Universidad del Pais Vasco (UPV/EHU)",,,
10345,Sphaerobasidium minutum,,Sphaerobasidium minutum,Sphaerobasidium minutum,Sphaerobasidium minutum,,Sphaerobasidium minutum,Sphaerobasidium minutum,,Sphaerobasidium minutum,Sphaerobasidium minutum,Sphaerobasidium minutum,,,
10346,Inocybe ayeri,,Inocybe ayeri,Inocybe ayeri,Inocybe ayeri,,Inocybe ayeri,Inocybe ayeri,,Inocybe ayeri,Inocybe ayeri,Inocybe ayeri,,,
10347,Incrustoporia papyracea,,Incrustoporia papyracea,Incrustoporia papyracea,Incrustoporia papyracea,,Incrustoporia papyracea,Incrustoporia papyracea,,Incrustoporia papyracea,Incrustoporia papyracea,Incrustoporia papyracea,,,
10348,Inocybe amygdalispora,,Inocybe amygdalispora,Inocybe amygdalispora,Inocybe amygdalispora,,Inocybe amygdalispora,Inocybe amygdalispora,,Inocybe amygdalispora,Inocybe amygdalispora,Inocybe amygdalispora,,,
10349,Hyphoderma clavatum,,Hyphoderma clavatum,Hyphoderma clavatum,Hyphoderma clavatum,,Hyphoderma clavatum,Hyphoderma clavatum,,Hyphoderma clavatum,Hyphoderma clavatum,Hyphoderma clavatum,,,
10350,Cortinarius helobius,,Cortinarius helobius,Cortinarius helobius,Cortinarius helobius,,Cortinarius helobius,Cortinarius helobius,,Cortinarius helobius,Cortinarius helobius,"Herbario BIO de Criptogamia (Hongos) (BIO-Fungi), Universidad del Pais Vasco (UPV/EHU)",,,
10351,Trechispora caucasica,,Trechispora caucasica,Trechispora caucasica,Trechispora caucasica,,Trechispora caucasica,Trechispora caucasica,,Trechispora caucasica,Trechispora caucasica,Trechispora caucasica,,,
10352,Xenasmatella gaspesica,,Xenasmatella gaspesica,Xenasmatella gaspesica,Xenasmatella gaspesica,,Xenasmatella gaspesica,Xenasmatella gaspesica,,Xenasmatella gaspesica,Xenasmatella gaspesica,Xenasmatella gaspesica,,,
10353,Hebeloma aestivale,,Hebeloma aestivale,Hebeloma aestivale,Hebeloma aestivale,,Hebeloma aestivale,Hebeloma aestivale,,Hebeloma aestivale,Hebeloma aestivale,Hebeloma aestivale,,,
10354,Entoloma tibiicystidiatum,,Entoloma tibiicystidiatum,Entoloma tibiicystidiatum,Entoloma tibiicystidiatum,,Entoloma tibiicystidiatum,Entoloma tibiicystidiatum,,Entoloma tibiicystidiatum,Entoloma tibiicystidiatum,Entoloma tibiicystidiatum,,,
10355,Ramaria longissimispora,,Ramaria longissimispora,Ramaria longissimispora,Ramaria longissimispora,,Ramaria longissimispora,Ramaria longissimispora,,Ramaria longissimispora,Ramaria longissimispora,Ramaria longissimispora,,,
10356,Crustomyces expallens,,Crustomyces expallens,Crustomyces expallens,Crustomyces expallens,,Crustomyces expallens,Crustomyces expallens,,Crustomyces,Crustomyces expallens,Crustomyces expallens,,,
10357,Syzygospora pallida,,Syzygospora pallida,Syzygospora pallida,Syzygospora pallida,,Syzygospora pallida,Syzygospora pallida,,Syzygospora pallida,Syzygospora pallida,Syzygospora pallida,,,
10358,Cicinobolus euonymi-japonicae,,Cicinobolus euonymi-japonicae,Cicinobolus euonymi-japonicae,Cicinobolus euonymi-japonicae,,Cicinobolus euonymi-japonicae,Cicinobolus euonymi-japonicae,,Cicinobolus euonymi-japonicae,Cicinobolus euonymi-japonicae,Cicinobolus euonymi-japonicae,,,
10359,Basidiodendron rimulentum,,Basidiodendron rimulentum,Basidiodendron rimulentum,Basidiodendron rimulentum,,Basidiodendron rimulentum,Basidiodendron rimulentum,,Basidiodendron rimulentum,,"Herbario BIO de Criptogamia (Hongos) (BIO-Fungi), Universidad del Pais Vasco (UPV/EHU)",,,
10360,Tomentella nitellina,,Tomentella nitellina,Tomentella nitellina,Tomentella nitellina,,Tomentella nitellina,Tomentella nitellina,,Tomentella nitellina,Tomentella nitellina,"Herbario BIO de Criptogamia (Hongos) (BIO-Fungi), Universidad del Pais Vasco (UPV/EHU)",,,
10361,Noblesia crocea,,Noblesia crocea,Noblesia crocea,Noblesia crocea,,Noblesia crocea,Noblesia crocea,,Noblesia crocea,Noblesia crocea,"Herbario BIO de Criptogamia (Hongos) (BIO-Fungi), Universidad del Pais Vasco (UPV/EHU)",,,
10362,Clavicorona mairei,,Clavicorona mairei,Clavicorona mairei,Clavicorona mairei,,Clavicorona mairei,Clavicorona mairei,,Clavicorona mairei,Clavicorona mairei,Clavicorona mairei,,,
10363,Russula clitocyboides,,Russula clitocyboides,Russula clitocyboides,Russula clitocyboides,,Russula clitocyboides,Russula clitocyboides,,Russula clitocyboides,Russula clitocyboides,Russula clitocyboides,,,
10364,Puccinia avenastri,,Puccinia avenastri,Puccinia avenastri,Puccinia avenastri,,Puccinia avenastri,Puccinia avenastri,,Puccinia avenastri,Puccinia avenastri,Puccinia avenastri,,,
10365,Melampsora caprearum,,Melampsora caprearum,Melampsora caprearum,Melampsora caprearum,,Melampsora caprearum,caprearum,,Melampsora caprearum,Melampsora caprearum,"Herbario BIO de Criptogamia (Hongos) (BIO-Fungi), Universidad del Pais Vasco (UPV/EHU)",,,
10366,Tubulicium dussii,,Tubulicium dussii,Tubulicium dussii,Tubulicium dussii,,Tubulicium dussii,Tubulicium dussii,,Tubulicium dussii,Tubulicium dussii,Macromycetes in Portugal Update,,,
10367,Cystolepiota petasiformis,,Cystolepiota petasiformis,Cystolepiota petasiformis,Cystolepiota petasiformis,,Cystolepiota petasiformis,Cystolepiota petasiformis,,Cystolepiota petasiformis,Cystolepiota petasiformis,Cystolepiota petasiformis,,,
10368,Entoloma porphyrogriseum,,Entoloma porphyrogriseum,Entoloma porphyrogriseum,Entoloma porphyrogriseum,,Entoloma porphyrogriseum,Entoloma porphyrogriseum,,Entoloma porphyrogriseum,Entoloma porphyrogriseum,Entoloma porphyrogriseum,,,
10369,Agaricus menieri,,Agaricus menieri,Agaricus menieri,Agaricus menieri,,Agaricus menieri,Agaricus menieri,,Agaricus menieri,Agaricus menieri,Macromycetes in Portugal Update,,,
10370,Fomitopsis iberica,,Fomitopsis iberica,Fomitopsis iberica,Fomitopsis iberica,,Fomitopsis iberica,iberica,,Fomitopsis,Fomitopsis iberica,Macromycetes in Portugal Update,,,
10371,Cortinarius flexibilis,,Cortinarius flexibilis,Cortinarius flexibilis,Cortinarius flexibilis,,Cortinarius flexibilis,Cortinarius flexibilis,,Cortinarius flexibilis,Cortinarius flexibilis,Cortinarius flexibilis,,,
10372,Cortinarius evernius,,Cortinarius evernius,Cortinarius evernius,Cortinarius evernius,,Cortinarius evernius,Cortinarius evernius,,Cortinarius evernius,Cortinarius evernius,Macromycetes in Portugal Update,,,
10373,Entoloma philocistus,,Entoloma philocistus,Entoloma philocistus,Entoloma philocistus,,Entoloma philocistus,Entoloma philocistus,,Entoloma philocistus,Entoloma philocistus,Macromycetes in Portugal Update,Entoloma philocistus,,
10374,Marasmius ventalloi,,Marasmius ventalloi,Marasmius ventalloi,Marasmius ventalloi,,Marasmius ventalloi,Marasmius ventalloi,,Marasmius ventalloi,Marasmius ventalloi,Marasmius ventalloi,,,
10375,Cortinarius cistophilus,,Cortinarius cistophilus,Cortinarius cistophilus,Cortinarius cistophilus,,Cortinarius cistophilus,Cortinarius cistophilus,,Cortinarius cistophilus,Cortinarius cistophilus,Cortinarius cistophilus,,,
10376,Conocybe juniana,,Conocybe juniana,Conocybe juniana,Conocybe juniana,,Conocybe juniana,Conocybe juniana,,Conocybe juniana,Conocybe juniana,Conocybe juniana,,,
10377,Phlegmacium daulnoyae,,Phlegmacium daulnoyae,Phlegmacium daulnoyae,Phlegmacium daulnoyae,,Phlegmacium daulnoyae,Phlegmacium daulnoyae,,Phlegmacium daulnoyae,Phlegmacium daulnoyae,Phlegmacium daulnoyae,,,
10378,Hygrocybe salicis-herbaceae,,Hygrocybe salicis-herbaceae,Hygrocybe salicis-herbaceae,Hygrocybe salicis-herbaceae,,Hygrocybe salicis-herbaceae,Hygrocybe salicis-herbaceae,,Hygrocybe salicis-herbaceae,Hygrocybe salicis-herbaceae,Hygrocybe salicis-herbaceae,,,
10379,Gerronema umbilicatum,,Gerronema umbilicatum,Gerronema umbilicatum,Gerronema umbilicatum,,Gerronema umbilicatum,Gerronema umbilicatum,,Gerronema umbilicatum,Gerronema umbilicatum,Gerronema umbilicatum,,,
10380,Entoloma caesiocinctum,,Entoloma caesiocinctum,Entoloma caesiocinctum,Entoloma caesiocinctum,,Entoloma caesiocinctum,caesiocinctum,,Entoloma,Entoloma caesiocinctum,Macromycetes in Portugal Update,,,
10381,Inosperma hirsutum,,Inosperma hirsutum,Inosperma hirsutum,Inosperma hirsutum,,Inosperma hirsutum,Inosperma hirsutum,,Inosperma hirsutum,Inosperma hirsutum,Inosperma hirsutum,Inosperma hirsutum,,
10382,Amanita contui,,Amanita contui,Amanita contui,Amanita contui,,Amanita contui,Amanita contui,,Amanita contui,Amanita contui,Macromycetes in Portugal Update,,,
10383,Spodocybe collina,,Spodocybe collina,Spodocybe collina,Spodocybe collina,,Spodocybe collina,Spodocybe collina,,Spodocybe collina,Spodocybe collina,Macromycetes in Portugal Update,,,
10384,Russula fragrantissima,,Russula fragrantissima,Russula fragrantissima,Russula fragrantissima,,Russula fragrantissima,Russula fragrantissima,,Russula fragrantissima,Russula fragrantissima,Macromycetes in Portugal Update,,,
10385,Conocybe sienophylla,,Conocybe sienophylla,Conocybe sienophylla,Conocybe sienophylla,,Conocybe sienophylla,Conocybe sienophylla,,Conocybe sienophylla,Conocybe sienophylla,Macromycetes in Portugal Update,,,
10386,Boletus mamorensis,,Boletus mamorensis,Boletus mamorensis,Boletus mamorensis,,Boletus mamorensis,Boletus mamorensis,,Boletus mamorensis,Boletus mamorensis,Boletus mamorensis,,,
10387,Leucoagaricus menieri,,Leucoagaricus menieri,Leucoagaricus menieri,Leucoagaricus menieri,,Leucoagaricus menieri,Leucoagaricus menieri,,Leucoagaricus menieri,Leucoagaricus menieri,Leucoagaricus menieri,,,
10388,Deconica merdicola,,Deconica merdicola,Deconica merdicola,Deconica merdicola,,Deconica merdicola,Deconica merdicola,,Deconica merdicola,Deconica merdicola,Macromycetes in Portugal Update,,,
10389,Psathyrella epimyces,,Psathyrella epimyces,Psathyrella epimyces,Psathyrella epimyces,,Psathyrella epimyces,Psathyrella epimyces,,Psathyrella epimyces,Psathyrella epimyces,Psathyrella epimyces,,,
10390,Conocybe alboradicans,,Conocybe alboradicans,Conocybe alboradicans,Conocybe alboradicans,,Conocybe alboradicans,Conocybe alboradicans,,Conocybe alboradicans,Conocybe alboradicans,Conocybe alboradicans,,,
10391,Candolleomyces halophilus,,Candolleomyces halophilus,Candolleomyces halophilus,Candolleomyces halophilus,,Candolleomyces halophilus,Candolleomyces halophilus,,Candolleomyces halophilus,Candolleomyces halophilus,Macromycetes in Portugal Update,,,
10392,Lactarius omphaliiformis,,Lactarius omphaliiformis,Lactarius omphaliiformis,Lactarius omphaliiformis,,Lactarius omphaliiformis,Lactarius omphaliiformis,,Lactarius omphaliiformis,Lactarius omphaliiformis,Macromycetes in Portugal Update,,,
10393,Entoloma myrmecophilum,,Entoloma myrmecophilum,Entoloma myrmecophilum,Entoloma myrmecophilum,,Entoloma myrmecophilum,Entoloma myrmecophilum,,Entoloma myrmecophilum,Entoloma myrmecophilum,Macromycetes in Portugal Update,,,
10394,Clitocybe glareosa,,Clitocybe glareosa,Clitocybe glareosa,Clitocybe glareosa,,Clitocybe glareosa,Clitocybe glareosa,,Clitocybe glareosa,Clitocybe glareosa,Macromycetes in Portugal Update,,,
10395,Hypsizygus tessulatus,,Hypsizygus tessulatus,Hypsizygus tessulatus,Hypsizygus tessulatus,,Hypsizygus tessulatus,Hypsizygus tessulatus,,Hypsizygus tessulatus,Hypsizygus tessulatus,Hypsizygus tessulatus,,,
10396,Inocybe cryptocystis,,Inocybe cryptocystis,Inocybe cryptocystis,Inocybe cryptocystis,,Inocybe cryptocystis,Inocybe cryptocystis,,Inocybe cryptocystis,Inocybe cryptocystis,Macromycetes in Portugal Update,,,
10397,Inocybe personata,,Inocybe personata,Inocybe personata,Inocybe personata,,Inocybe personata,Inocybe personata,,Inocybe personata,Inocybe personata,Inocybe personata,,,
10398,Pseudospongipellis delectans,,Pseudospongipellis delectans,Pseudospongipellis delectans,Pseudospongipellis delectans,,Pseudospongipellis delectans,Pseudospongipellis delectans,,Pseudospongipellis delectans,Pseudospongipellis delectans,Macromycetes in Portugal Update,,,
10399,Lepista barbara,,Lepista barbara,Lepista barbara,Lepista barbara,,Lepista barbara,Lepista barbara,,Lepista barbara,Lepista barbara,Lepista barbara,,,
10400,Leucopaxillus malenconii,,Leucopaxillus malenconii,Leucopaxillus malenconii,Leucopaxillus malenconii,,Leucopaxillus malenconii,Leucopaxillus malenconii,,Leucopaxillus malenconii,Leucopaxillus malenconii,Leucopaxillus malenconii,,,
10401,Gerronema nitriolens,,Gerronema nitriolens,Gerronema nitriolens,Gerronema nitriolens,,Gerronema nitriolens,Gerronema nitriolens,,Gerronema nitriolens,Gerronema nitriolens,Gerronema nitriolens,,,
10402,Typhula filiformis,,Typhula filiformis,Typhula filiformis,Typhula filiformis,,Typhula filiformis,Typhula filiformis,,Typhula filiformis,Typhula filiformis,Typhula filiformis,,,
10403,Clavariadelphus flavoimmaturus,,Clavariadelphus flavoimmaturus,Clavariadelphus flavoimmaturus,Clavariadelphus flavoimmaturus,,Clavariadelphus flavoimmaturus,Clavariadelphus flavoimmaturus,,Clavariadelphus flavoimmaturus,Clavariadelphus flavoimmaturus,Macromycetes in Portugal Update,,,
10404,Lactarius alpinus,,Lactarius alpinus,Lactarius alpinus,Lactarius alpinus,,Lactarius alpinus,Lactarius alpinus,,Lactarius alpinus,Lactarius alpinus,Lactarius alpinus,,,
10405,Russula amara,,Russula amara,Russula amara,Russula amara,,Russula amara,Russula amara,,Russula amara,Russula amara,Russula amara,,,
10406,Roccella montagnei,,Roccella montagnei,Roccella montagnei,Roccella montagnei,,Roccella montagnei,Roccella montagnei,,Roccella montagnei,Roccella montagnei,,Roccella montagnei,,
10407,Usnea boomiana,,Usnea boomiana,Usnea boomiana,Usnea boomiana,,Usnea boomiana,Usnea boomiana,,Usnea boomiana,Usnea boomiana,,Usnea boomiana,,
10408,Scutula stereocaulorum,,Scutula stereocaulorum,Scutula stereocaulorum,Scutula stereocaulorum,,Scutula stereocaulorum,Scutula stereocaulorum,,Scutula stereocaulorum,Scutula stereocaulorum,Scutula stereocaulorum,Fungi|Scutula|stereocaulorum,,
10409,Arthrosporum acclinoides,,Arthrosporum acclinoides,Arthrosporum acclinoides,Arthrosporum acclinoides,,Arthrosporum acclinoides,Arthrosporum acclinoides,,Arthrosporum acclinoides,Arthrosporum acclinoides,,Arthrosporum acclinoides,,
10410,Cortinarius caroviolaceus,,Cortinarius caroviolaceus,Cortinarius caroviolaceus,Cortinarius caroviolaceus,,Cortinarius caroviolaceus,Cortinarius caroviolaceus,,Cortinarius caroviolaceus,Cortinarius caroviolaceus,,,,
10411,Cerocorticium sulfureoisabellinum,,Cerocorticium sulfureoisabellinum,Cerocorticium sulfureoisabellinum,Cerocorticium sulfureoisabellinum,,Cerocorticium sulfureoisabellinum,sulfureoisabellina,,Flavophlebia,Cerocorticium sulfureoisabellinum,,,,
10412,Tubulicrinis strangulatus,,Tubulicrinis strangulatus,Tubulicrinis strangulatus,Tubulicrinis strangulatus,,Tubulicrinis strangulatus,Tubulicrinis strangulatus,,Tubulicrinis strangulatus,Tubulicrinis strangulatus,Tubulicrinis strangulatus,,,
10413,Puccinia chamaecyparidis,,Puccinia chamaecyparidis,Puccinia chamaecyparidis,Puccinia chamaecyparidis,,Puccinia chamaecyparidis,Puccinia chamaecyparidis,,Puccinia chamaecyparidis,Puccinia chamaecyparidis,,Puccinia chamaecyparidis,,
10414,Tubulicrinis effugiens,,Tubulicrinis effugiens,Tubulicrinis effugiens,Tubulicrinis effugiens,,Tubulicrinis effugiens,Tubulicrinis effugiens,,Tubulicrinis effugiens,Tubulicrinis effugiens,CSIC-Real Jardín Botánico-Colección de Hongos (MA-Fungi),,,
10415,Repetobasidium mirificum,,Repetobasidium mirificum,Repetobasidium mirificum,Repetobasidium mirificum,,Repetobasidium mirificum,Repetobasidium mirificum,,Repetobasidium mirificum,Repetobasidium mirificum,CSIC-Real Jardín Botánico-Colección de Hongos (MA-Fungi),,,
10416,Polyporus alveolarius,,Polyporus alveolarius,Polyporus alveolarius,Polyporus alveolarius,,Polyporus alveolarius,Polyporus alveolarius,,Polyporus alveolarius,Polyporus alveolarius,,,,
10417,Scytinostroma praestans,,Scytinostroma praestans,Scytinostroma praestans,Scytinostroma praestans,,Scytinostroma praestans,Scytinostroma praestans,,Scytinostroma praestans,Scytinostroma praestans,CSIC-Real Jardín Botánico-Colección de Hongos (MA-Fungi),,,
10418,Hypochnicium albostramineum,,Hypochnicium albostramineum,Hypochnicium albostramineum,Hypochnicium albostramineum,,Hypochnicium albostramineum,albostramineum,,Hypochnicium,Hypochnicium albostramineum,CSIC-Real Jardín Botánico-Colección de Hongos (MA-Fungi),,,
10419,Dendrocorticium ionides,,Dendrocorticium ionides,Dendrocorticium ionides,Dendrocorticium ionides,,Dendrocorticium ionides,Dendrocorticium ionides,,Dendrocorticium ionides,Dendrocorticium ionides,,,,
10420,Hypochnicium subrigescens,,Hypochnicium subrigescens,Hypochnicium subrigescens,Hypochnicium subrigescens,,Hypochnicium subrigescens,Hypochnicium subrigescens,,Hypochnicium subrigescens,Hypochnicium subrigescens,,,,
10421,Phlebia firma,,Phlebia firma,Phlebia firma,Phlebia firma,,Phlebia firma,Phlebia firma,,Phlebia firma,Phlebia firma,Phlebia firma,,,
10422,Verrucoplaca verruculifera,,Verrucoplaca verruculifera,Verrucoplaca verruculifera,Verrucoplaca verruculifera,,Verrucoplaca verruculifera,Verrucoplaca verruculifera,,Verrucoplaca,Verrucoplaca verruculifera,,,,
10423,Botryobasidium intertextum,,Botryobasidium intertextum,Botryobasidium intertextum,Botryobasidium intertextum,,Botryobasidium intertextum,intertextum,,Botryobasidium intertextum,Botryobasidium intertextum,CSIC-Real Jardín Botánico-Colección de Hongos (MA-Fungi),,,
10424,Mallocybe fuscomarginata,,Mallocybe fuscomarginata,Mallocybe fuscomarginata,Mallocybe fuscomarginata,,Mallocybe fuscomarginata,Mallocybe fuscomarginata,,Mallocybe fuscomarginata,Mallocybe fuscomarginata,CSIC-Real Jardín Botánico-Colección de Hongos (MA-Fungi),,,
10425,Amylocorticiellum molle,,Amylocorticiellum molle,Amylocorticiellum molle,Amylocorticiellum molle,,Amylocorticiellum molle,molle,,Hypochniciellum,Amylocorticiellum molle,CSIC-Real Jardín Botánico-Colección de Hongos (MA-Fungi),,,
10426,Hermanssonia centrifuga,,Hermanssonia centrifuga,Hermanssonia centrifuga,Hermanssonia centrifuga,,Hermanssonia centrifuga,Hermanssonia centrifuga,,Hermanssonia centrifuga,Hermanssonia centrifuga,Hermanssonia centrifuga,,,
10427,Bovista furfuracea,,Bovista furfuracea,Bovista furfuracea,Bovista furfuracea,,Bovista furfuracea,Bovista furfuracea,,Bovista,Bovista furfuracea,Bovista furfuracea,,,
10428,Radulomyces notabilis,,Radulomyces notabilis,Radulomyces notabilis,Radulomyces notabilis,,Radulomyces notabilis,notabilis,,Radulomyces,Radulomyces notabilis,CSIC-Real Jardín Botánico-Colección de Hongos (MA-Fungi),,,
10429,Peniophorella pertenuis,,Peniophorella pertenuis,Peniophorella pertenuis,Peniophorella pertenuis,,Peniophorella pertenuis,Peniophorella pertenuis,,Peniophorella pertenuis,Peniophorella pertenuis,,,,
10430,Phlebia ryvardenii,,Phlebia ryvardenii,Phlebia ryvardenii,Phlebia ryvardenii,,Phlebia ryvardenii,Phlebia ryvardenii,,Phlebia ryvardenii,Phlebia ryvardenii,CSIC-Real Jardín Botánico-Colección de Hongos (MA-Fungi),,,
10431,Seuratia millardetii,,Seuratia millardetii,Seuratia millardetii,Seuratia millardetii,,Seuratia millardetii,Seuratia millardetii,,Seuratia millardetii,Seuratia millardetii,,,,
10432,Microcera coccophila,,Microcera coccophila,Microcera coccophila,Microcera coccophila,,Microcera coccophila,Microcera coccophila,,Microcera coccophila,Microcera coccophila,Microcera coccophila,,,
10433,Amyloathelia crassiuscula,,Amyloathelia crassiuscula,Amyloathelia crassiuscula,Amyloathelia crassiuscula,,Amyloathelia crassiuscula,Amyloathelia crassiuscula,,Amyloathelia crassiuscula,Amyloathelia crassiuscula,,,,
10434,Byssocorticium pulchrum,,Byssocorticium pulchrum,Byssocorticium pulchrum,Byssocorticium pulchrum,,Byssocorticium pulchrum,Byssocorticium pulchrum,,Byssocorticium pulchrum,Byssocorticium pulchrum,Byssocorticium pulchrum,,,
10435,Xylodon juniperus,,Xylodon juniperus,Xylodon juniperus,Xylodon juniperus,,Xylodon juniperus,Xylodon juniperus,,Xylodon juniperus,Xylodon juniperus,,,,
10436,Trechispora verruculosa,,Trechispora verruculosa,Trechispora verruculosa,Trechispora verruculosa,,Trechispora verruculosa,Trechispora verruculosa,,Trechispora verruculosa,Trechispora verruculosa,,,,
10437,Mallocybe arenaria,Mallocybe arenaria,Mallocybe arenaria,Mallocybe arenaria,Mallocybe arenaria,,Mallocybe arenaria,arenaria,,Mallocybe arenaria,Mallocybe arenaria,Mallocybe arenaria,,,
10438,Cytidiella nitidula,,Cytidiella nitidula,Cytidiella nitidula,Cytidiella nitidula,,Cytidiella nitidula,Cytidiella nitidula,,Cytidiella nitidula,Cytidiella nitidula,CSIC-Real Jardín Botánico-Colección de Hongos (MA-Fungi),,,
10439,Inocybe urbana,,Inocybe urbana,Inocybe urbana,Inocybe urbana,,Inocybe urbana,Inocybe urbana,,Inocybe urbana,Inocybe urbana,,,,
10440,Ptychogaster rubescens,,Ptychogaster rubescens,Ptychogaster rubescens,Ptychogaster rubescens,,Ptychogaster rubescens,Ptychogaster rubescens,,Ptychogaster rubescens,Ptychogaster rubescens,,,,
10441,Antrodia sandaliae,,Antrodia sandaliae,Antrodia sandaliae,Antrodia sandaliae,,Antrodia sandaliae,Antrodia sandaliae,,Antrodia sandaliae,Antrodia sandaliae,Antrodia sandaliae,,,
10442,Myriangium duriaei,,Myriangium duriaei,Myriangium duriaei,Myriangium duriaei,,Myriangium duriaei,Myriangium duriaei,,Myriangium duriaei,Myriangium duriaei,Myriangium duriaei,,,
10443,Vararia investiens,,Vararia investiens,Vararia investiens,Vararia investiens,,Vararia investiens,Vararia investiens,,Vararia investiens,Vararia investiens,CSIC-Real Jardín Botánico-Colección de Hongos (MA-Fungi),,,
10444,Hypochnicium lundellii,,Hypochnicium lundellii,Hypochnicium lundellii,Hypochnicium lundellii,,Hypochnicium lundellii,Hypochnicium lundellii,,Hypochnicium lundellii,Hypochnicium lundellii,Hypochnicium lundellii,,,
10445,Phanerochaete pallida,,Phanerochaete pallida,Phanerochaete pallida,Phanerochaete pallida,,Phanerochaete pallida,Phanerochaete pallida,,Phanerochaete pallida,Phanerochaete pallida,,,,
10446,Hypochnicium multiforme,,Hypochnicium multiforme,Hypochnicium multiforme,Hypochnicium multiforme,,Hypochnicium multiforme,Hypochnicium multiforme,,Hypochnicium multiforme,Hypochnicium multiforme,,,,
10447,Corticiruptor abelonae,,Corticiruptor abelonae,Corticiruptor abelonae,Corticiruptor abelonae,,Corticiruptor abelonae,Corticiruptor abelonae,,Corticiruptor abelonae,,,,,
10448,Cosmospora flammea,,Cosmospora flammea,Cosmospora flammea,Cosmospora flammea,,Cosmospora flammea,Cosmospora flammea,,Nectria,Cosmospora flammea,COI - Herbarium of University of Coimbra,,,
10449,Cristella submutabilis,,Cristella submutabilis,Cristella submutabilis,Cristella submutabilis,,Cristella submutabilis,Cristella submutabilis,,Cristella submutabilis,Cristella submutabilis,,,,
10450,Skvortzovia georgica,,Skvortzovia georgica,Skvortzovia georgica,Skvortzovia georgica,,Skvortzovia georgica,Skvortzovia georgica,,Skvortzovia georgica,Skvortzovia georgica,Skvortzovia georgica,,,
10451,Peniophora albobadia,,Peniophora albobadia,Peniophora albobadia,Peniophora albobadia,,Peniophora albobadia,Peniophora albobadia,,Peniophora albobadia,Peniophora albobadia,,,,
10452,Tubulicrinis inornatus,,Tubulicrinis inornatus,Tubulicrinis inornatus,Tubulicrinis inornatus,,Tubulicrinis inornatus,Tubulicrinis inornatus,,Tubulicrinis inornatus,Tubulicrinis inornatus,Tubulicrinis inornatus,,,
10453,Lindtneria leucobryophila,,Lindtneria leucobryophila,Lindtneria leucobryophila,Lindtneria leucobryophila,,Lindtneria leucobryophila,Lindtneria leucobryophila,,Lindtneria,Lindtneria leucobryophila,CSIC-Real Jardín Botánico-Colección de Hongos (MA-Fungi),,,
10454,Fabraea saniculae,,Fabraea saniculae,Fabraea saniculae,Fabraea saniculae,,Fabraea saniculae,Fabraea saniculae,,Fabraea saniculae,Fabraea saniculae,,,,
10455,Polyozellus flavovirens,,Polyozellus flavovirens,Polyozellus flavovirens,Polyozellus flavovirens,,Polyozellus flavovirens,Polyozellus flavovirens,,Polyozellus flavovirens,Polyozellus flavovirens,Polyozellus flavovirens,,,
10456,Pyrenotrichum splitgerberi,,Pyrenotrichum splitgerberi,Pyrenotrichum splitgerberi,Pyrenotrichum splitgerberi,,Pyrenotrichum splitgerberi,Pyrenotrichum splitgerberi,,Pyrenotrichum splitgerberi,Pyrenotrichum splitgerberi,,Pyrenotrichum splitgerberi,,
10457,Vararia maremmana,,Vararia maremmana,Vararia maremmana,Vararia maremmana,,Vararia maremmana,Vararia maremmana,,Vararia maremmana,Vararia maremmana,Vararia maremmana,,,
10458,Phlegmacium saginum,,Phlegmacium saginum,Phlegmacium saginum,Phlegmacium saginum,,Phlegmacium saginum,Phlegmacium saginum,,Phlegmacium saginum,Phlegmacium saginum,,Phlegmacium saginum,,
10459,Gymnopus inodorus,,Gymnopus inodorus,Gymnopus inodorus,Gymnopus inodorus,,Gymnopus inodorus,inodorus,,Gymnopus,Gymnopus inodorus,Gymnopus inodorus,Gymnopus inodorus,,
10460,Entoloma occultipigmentatum,Entoloma occultipigmentatum,Entoloma occultipigmentatum,Entoloma occultipigmentatum,Entoloma occultipigmentatum,,Entoloma occultipigmentatum,Entoloma occultipigmentatum,,Entoloma occultipigmentatum,Entoloma occultipigmentatum,,Entoloma occultipigmentatum,,
10461,Cistella dentata,,Cistella dentata,Cistella dentata,Cistella dentata,,Cistella dentata,Cistella dentata,,Cistella dentata,Cistella dentata,,Cistella dentata,,
10462,Cortinarius ochrophyllus,,Cortinarius ochrophyllus,Cortinarius ochrophyllus,Cortinarius ochrophyllus,,Cortinarius ochrophyllus,Cortinarius ochrophyllus,,Cortinarius ochrophyllus,Cortinarius ochrophyllus,,Cortinarius ochrophyllus,,
10463,Stigmidium caloplacae,,Stigmidium caloplacae,Stigmidium caloplacae,Stigmidium caloplacae,,Stigmidium caloplacae,Stigmidium caloplacae,,Stigmidium caloplacae,Stigmidium caloplacae,Stigmidium caloplacae,,,
